# frequency value
1.225000000000000000e+01 3.752375861373366142e-45
1.237500000000000000e+01 3.583702992768337106e-45
1.250000000000000000e+01 3.424300703602787699e-45
1.262500000000000000e+01 3.273571216832215274e-45
1.275000000000000000e+01 3.130960850277438939e-45
1.287500000000000000e+01 2.995956364219171748e-45
1.300000000000000000e+01 2.868081643885797967e-45
1.312500000000000000e+01 2.746894683225302051e-45
1.325000000000000000e+01 2.631984840010291972e-45
1.337500000000000000e+01 2.522970335554554036e-45
1.350000000000000000e+01 2.419495975174215908e-45
1.362500000000000000e+01 2.321231068052931869e-45
1.375000000000000000e+01 2.227867527408927892e-45
1.387500000000000000e+01 2.139118133847405946e-45
1.400000000000000000e+01 2.054714946545080869e-45
1.412500000000000000e+01 1.974407848481417910e-45
1.425000000000000000e+01 1.897963213326352104e-45
1.437500000000000000e+01 1.825162682837536090e-45
1.450000000000000000e+01 1.755802044728877142e-45
1.462500000000000000e+01 1.689690201962150862e-45
1.475000000000000000e+01 1.626648225298266028e-45
1.487500000000000000e+01 1.566508481736278152e-45
1.500000000000000000e+01 1.509113832177131026e-45
1.512500000000000000e+01 1.454316892284457027e-45
1.525000000000000000e+01 1.401979351084889108e-45
1.537500000000000000e+01 1.351971342362266936e-45
1.550000000000000000e+01 1.304170864360343956e-45
1.562500000000000000e+01 1.258463243722594017e-45
1.575000000000000000e+01 1.214740639970612014e-45
1.587500000000000000e+01 1.172901587158498996e-45
1.600000000000000000e+01 1.132850569643853033e-45
1.612500000000000000e+01 1.094497629189517003e-45
1.625000000000000000e+01 1.057758000857526038e-45
1.637500000000000000e+01 1.022551775380250929e-45
1.650000000000000000e+01 9.888035858960830831e-46
1.662500000000000000e+01 9.564423171202428392e-46
1.675000000000000000e+01 9.254008351874297169e-46
1.687500000000000000e+01 8.956157365536903572e-46
1.700000000000000000e+01 8.670271144816880748e-46
1.712500000000000000e+01 8.395783417578057377e-46
1.725000000000000000e+01 8.132158684025130643e-46
1.737500000000000000e+01 7.878890332381997250e-46
1.750000000000000000e+01 7.635498882722666774e-46
1.762500000000000000e+01 7.401530349385169336e-46
1.775000000000000000e+01 7.176554713176270483e-46
1.787500000000000000e+01 6.960164495283984066e-46
1.800000000000000000e+01 6.751973425462084612e-46
1.812500000000000000e+01 6.551615197642606111e-46
1.825000000000000000e+01 6.358742306672545757e-46
1.837500000000000000e+01 6.173024960365902921e-46
1.850000000000000000e+01 5.994150061514603063e-46
1.862500000000000000e+01 5.821820254916385356e-46
1.875000000000000000e+01 5.655753034857942671e-46
1.887500000000000000e+01 5.495679908839539924e-46
1.900000000000000000e+01 5.341345613647374807e-46
1.912500000000000000e+01 5.192507380173122022e-46
1.925000000000000000e+01 5.048934243649852022e-46
1.937500000000000000e+01 4.910406396221135203e-46
1.950000000000000000e+01 4.776714578988107133e-46
1.962500000000000000e+01 4.647659510888911335e-46
1.975000000000000000e+01 4.523051351957900179e-46
1.987500000000000000e+01 4.402709198689920762e-46
2.000000000000000000e+01 4.286460609398754228e-46
2.012500000000000000e+01 4.174141157610063112e-46
2.025000000000000000e+01 4.065594011668469271e-46
2.037500000000000000e+01 3.960669538867275305e-46
2.050000000000000000e+01 3.859224932528092241e-46
2.062500000000000000e+01 3.761123860567530067e-46
2.075000000000000000e+01 3.666236134189737307e-46
2.087500000000000000e+01 3.574437395437362907e-46
2.100000000000000000e+01 3.485608822420621875e-46
2.112500000000000000e+01 3.399636851124509029e-46
2.125000000000000000e+01 3.316412912768779828e-46
2.137500000000000000e+01 3.235833185764489979e-46
2.150000000000000000e+01 3.157798361374835188e-46
2.162500000000000000e+01 3.082213422247499899e-46
2.175000000000000000e+01 3.008987433040929838e-46
2.187500000000000000e+01 2.938033342417988976e-46
2.200000000000000000e+01 2.869267795728174193e-46
2.212500000000000000e+01 2.802610957743631911e-46
2.225000000000000000e+01 2.737986344855350822e-46
2.237500000000000000e+01 2.675320666174072150e-46
2.250000000000000000e+01 2.614543673016054136e-46
2.262500000000000000e+01 2.555588016286845985e-46
2.275000000000000000e+01 2.498389111307093051e-46
2.287500000000000000e+01 2.442885009653032966e-46
2.300000000000000000e+01 2.389016277611150011e-46
2.312500000000000000e+01 2.336725880871329175e-46
2.325000000000000000e+01 2.285959075106179905e-46
2.337500000000000000e+01 2.236663302105794942e-46
2.350000000000000000e+01 2.188788091157572139e-46
2.362500000000000000e+01 2.142284965379561890e-46
2.375000000000000000e+01 2.097107352733499873e-46
2.387500000000000000e+01 2.053210501460183985e-46
2.400000000000000000e+01 2.010551399695295977e-46
